"species","habitat_taxref","pf"
"Engina zonalis",1,NA
"Engina alveolata",1,NA
"Canarium labiatum",1,NA
"Purpurcapsula polynesiae",1,"P"
"Linatella caudata",1,NA
"Volema pyrum",1,NA
"Terebra cingulifera laevigata",1,NA
"Caecum cooki",1,"P"
"Sansonia kirkpatricki",1,"P"
"Mareleptopoma iredalei",1,"P"
"Lyncina propinqua",1,NA
"Neripteron taitense",4,"P"
"Solenopsis papuana",3,"C"
"Prohydrometra tohiea",3,"E"
"Prohydrometra englundi",3,"E"
"Prohydrometra moorea",3,"E"
"Hydrometra gagnei",3,"E"
"Prohydrometra johnpolhemi",8,"E"
"Marquesametra hivaoa",3,"E"
"Prohydrometra teatara",3,"E"
"Lithurgus scabrosus",3,"P"
"Puffinus bulleri",1,NA
"Gonodactylellus erdmanni",1,"P"
"Mastonia funebris",1,NA
"Eviota prasina",1,NA
"Aliculastrum cylindricum",1,"P"
"Trioza alifumosa",3,"S"
"Papasula abbotti",1,"W"
"Astrea annuligera",1,NA
"Istiophorus platypterus",1,"P"
"Campsicnemus scurra",3,"E"
"Campsicnemus uncleremus",3,"E"
"Monomorium australicum",3,"C"
"Rogeria stigmatica",3,"C"
"Tapinoma minutum",3,"P"
"Tetramorium caldarium",3,"I"
"Gasteracantha cancriformis",3,"A"
"Rhyncogonus viridescens",3,"E"
"Rhyncogonus adamsoni",3,"E"
"Aposthonia oceania",3,"P"
"Zeoleusis insularis",3,"E"
"Bactrocera luteola",3,"E"
"Tetragnatha tuamoaa",3,"E"
"Tetragnatha moua",3,"E"
"Rhyncogonus angustus",3,"E"
"Rhyncogonus hispidus",3,"E"
"Chrysodeixis includens",3,NA
"Campsicnemus tahaanus",3,"E"
"Campsicnemus craigi",8,"E"
"Campsicnemus hihiroa",3,"E"
"Enochrus elongatulus",2,NA
"Allograpta amphotera",3,"P"
"Rhyncogonus excavatus",3,"E"
"Rhyncogonus ochraceus",3,"E"
"Mecyclothorax aa",3,"P"
"Rhyncogonus othello",3,"E"
"Rhyncogonus nodosus",3,"E"
"Rhyncogonus planatus",3,"E"
"Rhabdoscelus obscurus",3,"I"
"Campsicnemus taratara",3,"E"
"Rhyncogonus fulvus",3,"E"
"Aethina concolor",3,"P"
"Campsicnemus zigzag",3,"E"
"Limnogonus cheesmani",2,"E"
"Leptocoris rufomarginatus",3,"P"
"Rhyncogonus opacipennis",3,"E"
"Aphis medicaginis",3,NA
"Campsicnemus ridiculoides",3,"E"
"Rhyncogonus pulvereus",3,"E"
"Campsicnemus lobatus",3,"E"
"Rhyncogonus expansus",3,"E"
"Bavia aericeps",3,"P"
"Melanozosteria soror",3,"P"
"Rhyncogonus brevis",3,"E"
"Rhyncogonus nigroaeneus",3,"E"
"Rhyncogonus caudatus",3,"E"
"Carpophilus dimidiatus",3,"P"
"Platythyrea parallela",3,"I"
"Campsicnemus ostlinx",3,"E"
"Carpophilus oculatus",3,"P"
"Carposina longignathosa",3,"E"
"Campsicnemus gladiator",3,"E"
"Homoneura hawaiiensis",3,"P"
"Rhyncogonus eximius",3,"E"
"Rhyncogonus tuberosus",3,"E"
"Carposina brevinotata",3,"E"
"Americhernes kanaka",3,"P"
"Rhyncogonus navicularis",3,"E"
"Rhyncogonus ventralis",3,"E"
"Pseudoloxops tahiticus",3,"E"
"Hogna crispipes",3,"P"
"Rhyncogonus pectoralis",3,"E"
"Latrodectus geometricus",3,"I"
"Haplochernes funafutensis",3,"P"
"Rhyncogonus duplex",3,"E"
"Rhyncogonus testudineus",3,"E"
"Longipalpus gynandropsidis",3,"P"
"Rhyncogonus longulus",3,"E"
"Rhyncogonus otiorhyncoides",3,"E"
"Aphis nerii",3,NA
"Rhyncogonus pleuralis",3,"E"
"Rhyncogonus lateralis",3,"E"
"Bemisia tabaci",3,"I"
"Campsicnemus meyeri",8,"E"
"Rhyncogonus rufulus",3,"E"
"Rhyncogonus tenebrosus",3,"E"
"Rhyncogonus corvus",3,"E"
"Pseudoloxops adamsoni",3,"E"
"Pseudorhabdosynochus pai",1,"P"
"Diphyes bojani",1,"P"
"Platysulcus tardus",1,"P"
"Asymphorodes chalcosoma",3,"E"
"Dactylosaster cylindricus",1,"P"
"Quadrella maculosa",1,"P"
"Acropora disticha",1,NA
"Asymphorodes aporia",3,"E"
"Asymphorodes bipunctatus",3,"E"
"Apterichtus klazingai",1,"P"
"Cryptotermes dolei",3,"S"
"Platepistoma balssii",1,"P"
"Asymphorodes nuciferae",3,"E"
"Echthromorpha marquisensis",3,"E"
"Gymnodoris citrina",1,"P"
"Eudonia clavula",3,"E"
"Homola orientalis",1,"P"
"Lyncina leviathan",1,NA
"Neaxius acanthus",1,"P"
"Puffinus auricularis",5,"P"
"Pomarea nukuhivae",3,"Z"
"Acrocephalus astrolabii",3,"Z"
"Veronicella cubensis",3,NA
"Mugil brasiliensis",4,NA
"Perinea tumida",1,"P"
"Plesiothyreus compressus",1,"P"
"Scolopendra morsitans",3,"I"
"Bractechlamys vexillum",1,NA
"Pitys scalaris",3,"E"
"Eucithara debilis",1,"P"
"Scaphisoma jacqi",3,"E"
"Scyracepon polynesiensis",1,"E"
"Chelidonura hirundinina",1,"P"
"Phyllidiopsis cardinalis",1,NA
"Fragum unedo",1,NA
"Fragum scruposum",1,NA
"Calappa capellonis",1,NA
"Bornella stellifera",1,"P"
"Achelia assimilis",1,NA
"Myliobatis aquila",1,NA
"Negaprion brevirostris",1,NA
"Panulirus argus westonii",1,NA
"Gymnothorax unicolor",1,NA
"Ginglymostoma cirratum",1,NA
"Sphyraena putnamae",1,"P"
"Sphyraena jello",1,NA
"Sphyraena flavicauda",1,NA
"Mobula mobular",1,NA
"Balistoides conspicillum",1,"P"
"Alectis indica",1,"P"
"Carcharhinus sorrah",1,NA
"Somniosus microcephalus",1,NA
"Manaxius paullus",1,"P"
"Nerita maxima",1,NA
"Strigatella retusa",1,NA
"Nebularia ancillides",1,"P"
"Vexillum semifasciatum",1,"P"
"Nerita chamaeleon",1,NA
"Cribrarula gaskoini",1,"D"
"Nerita undata",1,"P"
"Hastula rufopunctata",1,NA
"Chicoreus banksii",1,NA
"Orphanopusia patriarchalis",1,"P"
"Floresorchestia papeari",3,"E"
"Parlatoria cinerea",3,"I"
"Bradina emphasis",3,"E"
"Eudonia achlya",3,"E"
"Autosticha leucoptera",3,"E"
"Prosobonia leucoptera",3,"Z"
"Schwartziella triticea",1,NA
"Pilumnus cursor",1,NA
"Porcellio laevis",3,"I"
"Neotrapezium sublaevigatum",1,"P"
"Myurellopsis columellaris",1,"P"
"Nautilus pompilius",1,NA
"Turbonilla aulica",1,NA
"Lamellidea adamsoni",3,"E"
"Iotyrris cingulifera",1,"P"
"Cubaris murina",3,"P"
"Tubuaia gouldi gouldi",3,"E"
"Hydrophis platurus",1,"P"
"Pseudoliomera granosimana",1,"P"
"Pukunia acuta",3,"E"
"Minous monodactylus",1,NA
"Thala violacea",1,NA
"Calcinus tibicen",1,NA
"Valenciennea puellaris",1,"P"
"Parasalenia gratiosa",1,"P"
"Paracalanus aculeatus",1,"P"
"Tridacna gigas",1,NA
"Asymphorodes chalcopterus",3,"E"
"Tetralia rubridactyla",1,"P"
"Neocalanus gracilis",1,"P"
"Candacia bispinosa",1,NA
"Asymphorodes nebrias",3,"E"
"Vexillum coronatum",1,"P"
"Paradiancistrus acutirostris",1,"P"
"Thordisa pinguis",1,"P"
"Asymphorodes spodogramma",3,"E"
"Alpheus frontalis",1,"P"
"Austromegalomus insulanus",3,"E"
"Iressa microsema",3,"E"
"Lathroteles obscura",3,"E"
"Asymphorodes remigiata",3,"E"
"Galearctus timidus",1,NA
"Eviota pellucida",1,"P"
"Cyrtophora cylindroides",3,NA
"Creugas gulosus",3,"I"
"Zenodorus pusillus",3,"E"
"Balaenoptera bonaerensis",1,"P"
"Limosa lapponica",7,"B"
"Rattus norvegicus",3,"J"
"Cancilla rehderi",1,NA
"Phyllidia carlsonhoffi",1,"P"
"Pseudoceros confusus",1,NA
"Glossomaera lindsae",1,"P"
"Stenothoe valida",1,NA
"Viriola abbotti",1,"P"
"Paralamprophaea leslieae",1,"P"
"Libera dubiosa",3,"E"
"Nerita tessellata",1,"I"
"Thylacodes variabilis",1,"P"
"Nerita planospira",1,NA
"Phyllidia guamensis",1,"P"
"Solitariopagurus trullirostris",1,"P"
"Saccostrea echinata",1,NA
"Salmoneus poupini",1,"P"
"Cheiraster ludwigi",1,"P"
"Thordisa tahala",1,"D"
"Onycocaridella monodoa",1,NA
"Conus betulinus",1,"P"
"Percnon affine",1,"P"
"Onycocaris callyspongiae",1,"P"
"Murrayona phanolepis",1,"P"
"Spinidrupa euracantha",1,"P"
"Coralliocaris superba",1,"P"
"Pseudoliomera remota",1,NA
"Exoclimenella maldivensis",1,"P"
"Liomera striolata",1,"P"
"Thyrolambrus efflorescens",1,"P"
"Ophionereis dubia",1,NA
"Thelenota rubralineata",1,NA
"Xanthias cherbonnieri",1,NA
"Tripneustes ventricosus",1,NA
"Lepas anserifera",1,NA
"Phanerophthalmus anettae",1,"P"
"Neoliomera demani",1,"P"
"Liocarpilodes pacificus",1,NA
"Conus mustelinus",1,NA
"Labidodemas pertinax",1,"P"
"Ophioconis permixta",1,"P"
"Alpheopsis balaeniceps",1,"E"
"Gonodactylellus affinis",1,"P"
"Periclimenaeus tridentatus",1,"P"
"Malacoceros indicus",1,NA
"Stylocheilus longicauda",1,"P"
"Dendrodoris albobrunnea",1,NA
"Nicidion cincta",1,NA
"Crucigera tricornis",1,"P"
"Strigatella decurtata",1,"P"
"Didemnum apuroto",1,"P"
"Vexillum zelotypum",1,"P"
"Lophozozymus incisus",1,"P"
"Cytaeis nassa",1,NA
"Smaragdia tragena",1,"P"
"Pseudobiceros uniarborensis",1,NA
"Synalpheus gracilirostris",1,"D"
"Triebelina sertata",1,"P"
"Hallaxa iju",1,NA
"Periglypta crispata",1,"P"
"Synalpheus nilandensis",1,"P"
"Bohadschia ocellata",1,NA
"Acrosterigma simplex",1,NA
"Thuridilla flavomaculata",1,NA
"Calcinus vachoni",1,"P"
"Palola vernalis",1,"P"
"Petrolisthes carinipes",1,"P"
"Goniobranchus setoensis",1,"P"
"Conchoderma auritum",1,NA
"Tritonoharpa antiquata",1,"P"
"Amphibalanus reticulatus",1,NA
"Allopeas micra",3,"I"
"Chthamalus proteus",1,"I"
"Cuapetes ensifrons",1,"P"
"Gambiodonta tumida",3,"Z"
"Actaea grimaldii",1,"P"
"Phylladiorhynchus joannotae",1,"P"
"Zozymodes cavipes",1,NA
"Babakina indopacifica",1,"P"
"Caphyra alata",1,"P"
"Morula striata",1,"P"
"Drupella eburnea",1,"P"
"Cuapetes grandis",1,"P"
"Aniculus erythraeus",1,"P"
"Leodice lucei",1,"P"
"Pyramidelloides gracilis",1,NA
"Salmoneus tafaongae",1,"P"
"Macromedaeus crassimanus",1,"P"
"Lamprophaea poupini",1,"E"
"Ophiolepis irregularis",1,NA
"Scissulina dispar",1,"P"
"Polyplectana longogranula",1,"P"
"Diplosoma virens",1,"P"
"Pisania ignea",1,"P"
"Iniforis formosula",1,NA
"Schizophroida hilensis",1,"P"
"Mastonia lamberti",1,"P"
"Petalifera ramosa",1,NA
"Arete indicus",1,"P"
"Arenallianassa arenosa",1,"P"
"Macrophthalmus (Macrophthalmus) milloti",6,NA
"Vexillum costatum",1,"P"
"Vexillum leucozonias",1,"P"
"Thamneus rostratus",1,NA
"Lophozozymus edwardsi",1,"P"
"Neostylodactylus litoralis",1,"D"
"Myurella nebulosa",1,"P"
"Paratrypaea maldivensis",1,NA
"Strigatella aurora",1,"P"
"Conus muriculatus var. laevigata",1,"P"
"Aulacolambrus diacanthus",1,NA
"Hyrtios communis",1,"P"
"Catoptrus inaequalis",1,"P"
"Phestilla lugubris",1,"P"
"Attiliosa caledonica",1,"P"
"Stomatella impertusa",1,NA
"Aspella hildrunae",1,"P"
"Scalenostoma carinatum",1,"P"
"Nannodiella acricula",1,"P"
"Epitonium paumotense",1,"P"
"Dorvillea gardineri",1,NA
"Athanas marshallensis",1,NA
"Rhodactis howesii",1,"P"
"Holothuria discrepans",1,"P"
"Lysidice oele",1,"P"
"Echinolittorina millegrana",1,NA
"Truncacteocina hawaiensis",1,"P"
"Obelia dichotoma",1,NA
"Abylopsis tetragona",1,NA
"Petrolisthes perdecorus",1,NA
"Cheiraster inops",1,"P"
"Prionalpheus brachytomeus",1,"P"
"Ophiomusa relicta",1,NA
"Calappa clypeata",1,NA
"Trididemnum paracyclops",1,"P"
"Chicoreus torrefactus",1,"P"
"Nebularia chrysostoma",1,"P"
"Cheilea cicatricosa",1,"D"
"Clytia noliformis",1,NA
"Cuapetes tenuipes",1,"P"
"Vexillum woldemarii",1,NA
"Cheilea hipponiciformis",1,"P"
"Hyastenus subinermis",1,NA
"Psammocora haimiana",1,"P"
"Hebella scandens",1,"P"
"Autonoe seurati",1,"P"
"Pseudodaphnella tincta",1,"P"
"Omogymna paxillus",1,NA
"Jellyella tuberculata",1,"P"
"Liocranchia reinhardtii",1,NA
"Jorunna parva",1,NA
"Kermia maculosa",1,"P"
"Atergatopsis lucasii",1,"P"
"Cyclosalpa affinis",1,NA
"Parvioris shoplandi",1,"P"
"Sulcodius deflexus",1,NA
"Euplica scripta",1,NA
"Lysmata amboinensis",1,"P"
"Thyroscyphus sibogae",1,NA
"Atlantilux rubra",1,"P"
"Ecionemia acervus",1,NA
"Tectonatica robillardi",1,"P"
"Carinomitra peculiaris",1,NA
"Lamprophaea cornuta",1,"P"
"Cancricepon garthi",1,"P"
"Calcinus revi",1,"E"
"Fennera chacei",1,"P"
"Jocullianassa matzi",1,"P"
"Bopyrissa fraissei",1,NA
"Ophiochaeta hirsuta",1,"P"
"Terebra tricolor",1,NA
"Sinularia brassica",1,NA
"Pylopaguropsis keijii",1,"P"
"Euanodontia hawaiensis",1,"P"
"Galathea waiora",1,"P"
"Alpheus djeddensis",1,"P"
"Taheitia porrecta",3,"E"
"Halgerda albocristata",1,"D"
"Plumularia filicaulis",1,NA
"Cyerce pavonina",1,"P"
"Tuleariocaris zanzibarica",1,"P"
"Didemnum maculosum",1,NA
"Euthymella regalis",1,NA
"Leodice australis",1,"P"
"Ophiosphaera insignis",1,"P"
"Synnotum aegyptiacum",1,NA
"Martadoris amakusana",1,"P"
"Podabacia crustacea",1,NA
"Notopygos rayneri",1,"P"
"Amathina tricarinata",1,"P"
"Cymo quadrilobatus",1,"P"
"Oncinopus neptunus",1,NA
"Paranchistus pycnodontae",1,"P"
"Imbricaria interlirata",1,"P"
"Coryphellina delicata",1,NA
"Saccostrea cuccullata",1,"I"
"Stilapex montrouzieri",1,NA
"Crisia elongata",1,"P"
"Semiricinula muricina",1,"P"
"Rugathanas borradailei",1,"P"
"Nassa francolina",1,NA
"Thuridilla vataae",1,"P"
"Alpheus edamensis",1,"P"
"Epicodakia sweeti",1,"P"
"Monotheca obliqua",1,NA
"Thor spinosus",1,NA
"Keijia demissa",1,NA
"Tylocarcinus styx",1,"P"
"Vexilla taeniata",1,"P"
"Philine rubrata",1,NA
"Oikopleura longicauda",1,"P"
"Alpheus paralcyone",1,"P"
"Sertularia malayensis",1,"P"
"Alpheus macrocheles",1,NA
"Septifer rudis",1,"P"
"Callianidea typa",1,"P"
"Eunice bilobata",1,"P"
"Eunice gracilis",1,"P"
"Heteroaxianassa heardi",1,"P"
"Aqaballianassa brevirostris",1,"P"
"Swainsonia casta",1,"P"
"Dactylospongia metachromia",1,"P"
"Chondrocidaris brevispina",1,"P"
"Thala jaculanda",1,"P"
"Conus auricomus",1,"P"
"Lonoa hawaiensis",1,"P"
"Cuapetes andamanensis",1,NA
"Goniobranchus geometricus",1,"D"
"Doriopsis pecten",1,NA
"Vexillum adamsianum",1,"P"
"Tomlinella insignis",1,NA
"Vexillum aureolatum",1,"P"
"Leiosolenus levigatus",1,"P"
"Pterygia nucea",1,"P"
"Zafra ornata",1,"P"
"Scintilla cuvieri",1,NA
"Rissoina honoluluensis",1,"P"
"Amplexidiscus fenestrafer",1,NA
"Cuapetes elegans",1,"P"
"Gari maculosa",1,NA
"Mitra (Nebularia) chrysalis",1,NA
"Diopatra leuckarti",1,"P"
"Prionospio steenstrupi",1,NA
"Salvatiella polynesica",1,"P"
"Apopontonia falcirostris",1,"P"
"Elysia tomentosa",1,NA
"Vexillum speciosum",1,"P"
"Solanderia secunda minima",1,"P"
"Vasticardium pectiniforme",1,NA
"Alpheus barbatus",1,"P"
"Linnaeoxanthus acanthomerus",1,NA
"Hoplophrys oatesii",1,"P"
"Nikoides steinii",1,NA
"Conus nux",1,NA
"Elasmopus pectenicrus",1,NA
"Pullosquilla thomassini",1,"P"
"Hemilienardia ocellata",1,"D"
"Ophiomoeris obstricta",1,NA
"Lysidice natalensis",1,"P"
"Deroceras laeve",3,"I"
"Gyrineum gyrinum",1,NA
"Neaxius trondlei",1,"P"
"Porites superfusa",1,"P"
"Pliopontonia furtiva",1,"P"
"Cuapetes agag",1,NA
"Palaemonella lata",1,"P"
"Amphiura latisquama",1,"P"
"Jocaste lucina",1,"P"
"Domiporta circula",1,"P"
"Conus magus",1,NA
"Platyozius laevis",1,"P"
"Eunice eimeorum",1,"E"
"Conchodytes tridacnae",1,"D"
"Vexillum moelleri",1,"P"
"Leiosolenus hanleyanus",1,"P"
"Macrosetella gracilis",1,"P"
"Conchodytes placunae",1,"P"
"Corbula taitensis",1,NA
"Turrilatirus sanguifluus",1,"P"
"Iniforis poecila",1,NA
"Nothria hawaiiensis",1,"P"
"Orbitestella bermudezi",1,NA
"Isarachnanthus bandanensis",1,"P"
"Hesione paulayi",1,"P"
"Leocrates chinensis",1,NA
"Paralamprophaea meyeri",1,"E"
"Galathea denticulata",1,NA
"Longchaeus acus",1,NA
"Turridrupa weaveri",1,"P"
"Eunice arenosa",1,"P"
"Diacria trispinosa",1,"P"
"Conus acutangulus",1,"P"
"Galathea halia",1,NA
"Alpheus alcyone",1,NA
"Caloria indica",1,"P"
"Nassarius rehderi",1,"P"
"Anadara antiquata",1,NA
"Tetralia brunalineata",1,"P"
"Clytia gracilis",1,NA
"Vexillum baccheti",1,"P"
"Oncopagurus indicus",1,"P"
"Bulla orientalis",1,"P"
"Vexillum catenatum",1,NA
"Actaeodes consobrinus",1,"P"
"Axiopsis pica",1,"P"
"Athanas parvus",1,"P"
"Ciliopagurus galzini",1,"E"
"Cerithium dialeucum",1,"P"
"Lepas anatifera",1,NA
"Echinocyamus crispus",1,"P"
"Ophiactis picteti",1,NA
"Gari pennata",1,"P"
"Turridrupa consobrina",1,NA
"Hesione keablei",1,"P"
"Purpuradusta microdon",1,NA
"Okenia pilosa",1,NA
"Catoptrus rathbunae",1,NA
"Chloeia fusca",1,"P"
"Morula bicatenata",1,"P"
"Oncinopus araneus",1,"P"
"Quadrans bougei",1,NA
"Chondrosia corticata",1,"P"
"Chlidonia pyriformis",1,NA
"Platydema subfascia",3,"P"
"Chaetacanthus pomareae",1,"E"
"Mautodontha maupiensis",3,"Z"
"Libera fratercula",3,"Y"
"Tubuaia coprophora",3,"E"
"Tubuaia hygrobia",3,"E"
"Pettancylus noumeensis",2,"C"
"Tubuaia saintjohni",3,"E"
"Bullina lineata",1,"P"
"Lamellovum globosum",3,"E"
"Epinephelus coeruleopunctatus",1,NA
"Ellobium semisculptum",1,"P"
"Hyotissa hyotis",1,"P"
"Palola siciliensis",1,"P"
"Ophidiaster hemprichi",1,"P"
"Taitaa terebriformis",3,"E"
"Procellaria cinerea",5,"B"
"Stercorarius skua",5,NA
"Dermochelys coriacea",5,"B"
"Hastula lanceata",1,"P"
"Hiona marici",3,"E"
"Propalticus oculatus",3,"P"
"Genetyllis gracilis",1,"P"
"Terebellides pacifica",1,"P"
"Australdonta raivavaeana",3,"E"
"Taitaa zimmermani",3,"E"
"Polypipapiliotrema citerovarium",1,"E"
"Minidonta anatonuana",3,"Z"
"Pseudojuloides polynesica",1,"P"
"Australdonta ectopia",3,"Z"
"Elasmias simplicinum",3,"E"
"Australdonta pharcata",3,"Z"
"Australdonta tapina",3,"E"
"Discocharopa aperta",3,"C"
"Australdonta degagei",3,"E"
"Ischnura jeanyvesmeyeri",8,"E"
"Microcystis kondoi",3,"Z"
"Minidonta haplaenopla",3,"Z"
"Tubuaia perplexa",3,"P"
"Tubuaia bakerorum",3,"E"
"Heteromysis ekamako",1,"E"
"Australdonta pseudplanulata",3,"E"
"Microcystis andersoni",3,"Z"
"Microcystis adusta",3,"Z"
"Minidonta planulata",3,"Z"
"Minidonta micraconica",3,"Z"
"Cookeana vindex",3,"Z"
"Minidonta sulcata",3,"Z"
"Partula pearcekellyi",3,"Z"
"Filicicoris tatarnici",3,"E"
"Fluviopupa deflexa",2,"E"
"Australdonta rimatarana",3,"Z"
"Fluviopupa crassiuscula",2,"E"
"Australdonta radiella",3,"E"
"Partula cootei",3,"Z"
"Charcotia bamberi",1,"E"
"Lamprocystis rurutuana",3,"Z"
"Diastole rurutui",3,"E"
"Punctum polynesicum",3,"E"
"Australdonta yoshii",3,"E"
"Australdonta tubuaiana",3,"Z"
"Tubuaia amoebodonta",3,"E"
"Ischnura rurutana",8,"E"
"Taitaa arauana",3,"E"
"Partula magistri",3,"Z"
"Partula clarkei",3,"Z"
"Minidonta gravacosta",3,"Z"
"Septaria apiata",2,"E"
"Cookeana anathesis",3,"Z"
"Raoulia calva",1,"P"
"Engyprosopon maldivensis",1,NA
"Gymnothorax intesi",1,"P"
"Canthigaster leoparda",1,"P"
"Engyprosopon marquisensis",1,"E"
"Eucithara delacouriana",1,NA
"Epinephelus corallicola",1,NA
"Vanikoro gueriniana",1,"P"
"Epitonium carchedon",1,"P"
"Eucyclotoma lactea",1,"P"
"Zafra atrata",1,NA
"Lienardia giliberti",1,"P"
"Heliacus fenestratus",1,NA
"Barclayia incerta",1,NA
"Halichoeres biocellatus",1,NA
"Lobatocreadium exiguum",1,NA
"Xyleborus affinis",3,"I"
"Chrysis angolensis",3,"I"
"Chloroclystis pitoi",3,"E"
"Thyas coronata",3,"P"
"Purpurcapsula pulcherrima",1,"P"
"Clithon recluzianum",4,"E"
"Porites stephensoni",1,NA
"Conus circumcisus",1,"P"
"Austrosciapus connexus",3,"I"
"Punctoterebra plumbea",1,"P"
"Casmaria boblehmani",1,"P"
"Neocancilla arenacea",1,"P"
"Laevistrombus canarium",1,NA
"Trivirostra dekkeri",1,"P"
"Imbricariopsis vanikorensis",1,NA
"Oliva amethystina",1,"P"
"Cribrarula astaryi",1,"P"
"Casmaria kayae",1,"P"
"Polinices jukesii",1,"D"
"Amegilla pulchra",3,"I"
"Germalus montandoni",3,"I"
"Stelidota geminata",3,NA
"Leocrates seidae",1,"P"
"Talitroides topitotum",3,"D"
"Ascalenia armigera",3,"P"
"Pyralis manihotalis",3,NA
"Lissocnemitis argolyca",3,"E"
"Phthorimaea operculella",3,"I"
"Leucania loreyimima",3,NA
"Zizina labradus cheesmanae",3,"E"
"Petula phalarata",3,"E"
"Metalpheus rostratipes",1,"P"
"Todiramphus sanctus canacorum",3,"A"
"Onychoprion anaethetus antarcticus",5,"A"
"Phaethon aethereus",5,NA
"Macrocypraea cervus",1,NA
"Conus namocanus",1,NA
"Zizina otis labradus",3,"P"
"Nassarius olivaceus",1,NA
"Halichoeres kallochroma",1,NA
"Vanikoro granulosa",1,NA
"Cystiscus sandwicensis",1,"P"
"Paractaea garretti",1,"P"
"Zebrasoma desjardinii",1,NA
"Geopelia cuneata",3,NA
"Neopomacentrus violascens",1,NA
"Assara decipula",3,"E"
"Ceratonereis fakaravae",1,"P"
"Nessorhamphus ingolfianus",1,"P"
"Amphioplus platyacanthus",1,"P"
"Pelagothuria natatrix",1,"P"
"Metcalfina hexagona",1,NA
"Candacia pachydactyla",1,"P"
"Dardanus pedunculatus",1,"P"
"Heliconoides inflatus",1,NA
"Hemiarthrus alphei",1,"E"
"Apterichtus succinus",1,"E"
"Haloptilus longicornis",1,"P"
"Ligia rugosa",3,"E"
"Asymphorodes lucerna",3,"E"
"Muraenichthys gymnopterus",1,"P"
"Haliotrema angelopterum",1,"P"
"Candacia simplex",1,"P"
"Zozymodes pumilus",1,"P"
"Clausocalanus furcatus",1,"P"
"Tubuca coarctata",1,NA
"Cinetorhynchus hiatti",1,"P"
"Asymphorodes phaeodelta",3,"E"
"Asymphorodes semiluteus",3,"E"
"Cryptoblepharus boutonii bitaeniatus",3,"A"
"Psammogobius biocellatus",4,NA
"Leptogoniulus sorornus",3,"I"
"Diadema antillarum",1,NA
"Callistocypraea aurantium",1,"P"
"Trachycentra calamias",3,"P"
"Dichelopa exulcerata",3,"E"
"Condica dolorosa",3,NA
"Cotesia marginiventris",3,NA
"Chaetocnema confinis",3,"I"
"Labdia dicyanitis",3,"E"
"Sapintus oceanicus",3,"P"
"Sertularia tongensis",1,NA
"Alvania isolata",1,"P"
"Ocyropsis crystallina",1,NA
"Liardetia striolata",3,"P"
"Ophiocoma schoenleinii",1,"P"
"Paractaea tumulosa",1,"P"
"Ostorhinchus brevispinis",1,"E"
"Kermia daedalea",1,NA
"Phanerophthalmus olivaceus",1,"P"
"Suberea creba",1,NA
"Ophidiaster perplexus",1,"P"
"Gigantactis vanhoeffeni",1,NA
"Centropyge argi",1,NA
"Amathina bicarinata",1,"P"
"Pione vastifica",1,NA
"Coenobita cavipes",3,"P"
"Charybdis hellerii",1,NA
"Goniodoris joubini",1,NA
"Lienardia mighelsi",1,"P"
"Decapterus russelli",1,NA
"Microsetella rosea",1,"P"
"Phestilla melanobrachia",1,"P"
"Bornella pele",1,"P"
"Goniobranchus albonares",1,"P"
"Vayssierea felis",1,"P"
"Ostorhinchus compressus",1,NA
"Philine orca",1,"P"
"Chondrillastra australiensis",1,NA
"Xystrocera globosa",3,"I"
"Pyralis pictalis",3,"P"
"Diretmoides pauciradiatus",1,NA
"Bactrocera xanthodes",3,"P"
"Trigonotylus tenuis",3,NA
"Erechthias pelotricha",3,"E"
"Tetragnatha nitens",3,"I"
"Prays ignota",3,"E"
"Thalamita savignyi",1,NA
"Hesione intertexta",1,"P"
"Pukunia pellucida",3,"E"
"Lutjanus bengalensis",1,NA
"Elasmias ovatum apertum",3,"C"
"Scabricola variegata",1,"P"
"Isara cornea",1,NA
"Helicina picta",3,"A"
"Tonna melanostoma",1,"P"
"Cardita calyculata",1,NA
"Strobilus perfragilis",3,"E"
"Tectarius cumingii",1,NA
"Partula formosa",3,"Z"
"Scutarcopagia linguafelis",1,NA
"Aclophora xystica",1,NA
"Talostolida violacincta",1,"P"
"Scintilla crocea",1,NA
"Reticunassa paupera",1,"P"
"Lioconcha harteae",1,"P"
"Cycloscala peaseana",1,"P"
"Coralliophila squamulosa",1,NA
"Glorichlamys quadrilirata",1,NA
"Diodora ruppellii",1,"P"
"Scaliola bella",1,"P"
"Pterynotus martinetanus",1,"P"
"Graphicomassa ligula",1,"D"
"Pseudotorinia amoena",1,NA
"Phos cyanostoma",1,NA
"Turbonilla bowenensis",1,NA
"Costatophora iniqua",1,NA
"Herpetopoma instrictum",1,NA
"Imbricaria fulgetrum",1,NA
"Pyramidelloides angustus",1,"P"
"Hydatina exquisita",1,"P"
"Basterotia angulata",1,"P"
"Sericominolia vernicosa",1,"P"
"Daphnella flammea",1,"P"
"Clypeomorus petrosa",1,NA
"Elysia ornata",1,"P"
"Oliva miniacea tremulina",1,NA
"Glycymeris reevei",1,NA
"Euplica borealis",1,NA
"Staphylaea limacina",1,NA
"Spondylus butleri",1,NA
"Strigatella ticaonica",1,"P"
"Chama brassica",1,"P"
"Hinea punctostriata",1,"P"
"Vexillum vulpecula",1,NA
"Pterynotus bouteti",1,"P"
"Alcyna ocellata",1,"P"
"Gafrarium divaricatum",1,NA
"Phyllidiella annulata",1,"P"
